########################################################
x         M
9.999999999999999e-11 4627949851.1533375
1.0139207304785108e-10 4565272537.678209
1.0280352476940771e-10 4502593151.956167
1.0423462492996356e-10 4440774329.4014225
1.0568564705014228e-10 4379804254.82216
1.0715686845817433e-10 4319671275.24448
1.0864857034290184e-10 4260363897.685202
1.1016103780752092e-10 4201870786.9552536
1.1169455992407247e-10 4144180763.4932337
1.1324942978869138e-10 4087282801.2286863
1.148259445776248e-10 4031166025.4747434
1.1642440560403034e-10 3975819710.8496885
1.180451183755649e-10 3921233279.2270474
1.1968839265277507e-10 3867396297.7138395
1.2135454250830055e-10 3814298476.656581
1.2304388638690159e-10 3761929667.6746516
1.2475674716632214e-10 3710279861.7206907
1.2649345221900028e-10 3659339187.167586
1.2825433347463738e-10 3609097907.9217744
1.3003972748363888e-10 3559546421.5623937
1.3184997548143763e-10 3510675257.5060263
1.33685423453713e-10 3462475075.196619
1.355464222025177e-10 3414936662.320255
1.3743332741332543e-10 3368050933.044439
1.3934649972301127e-10 3321808926.28157
1.412863047887792e-10 3276201803.9762297
1.4325311335804854e-10 3231220849.416006
1.4524730133931355e-10 3186857465.56549
1.4726924987398919e-10 3143103173.4231825
1.4931934540925747e-10 3099949610.4009132
1.5139797977192742e-10 3057388528.7255354
1.5350555024332347e-10 3015411793.8625712
1.5564245963521626e-10 2974011382.9614763
1.5780911636681066e-10 2933179383.3222694
1.6000593454280498e-10 2892907990.883225
1.6223333403253766e-10 2853189508.7292724
1.6449174055023482e-10 2814016345.620966
1.6678158573637582e-10 2775381014.543547
1.6910330724019055e-10 2737276131.276033
1.714573488033061e-10 2699694412.9798536
1.7384416034455695e-10 2662628676.8069463
1.7626419804597656e-10 2626071838.5269012
1.7871792443998548e-10 2590016911.17299
1.8120580849779339e-10 2554457003.7067766
1.8372832571903187e-10 2519385319.7010536
1.8628595822263454e-10 2484795156.0408735
1.8887919483898304e-10 2450679901.6423974
1.9150853120333467e-10 2417033036.189364
1.941744698505518e-10 2383848128.886861
1.9687752031114907e-10 2351118837.232256
1.9961819920867816e-10 2318838905.8029647
2.0239703035846787e-10 2287002165.060881
2.052145448677391e-10 2255602530.173214
2.0807128123711318e-10 2224633999.84952
2.109677854635335e-10 2194090655.1947026
2.1390461114461967e-10 2163966658.5777493
2.1688231958447458e-10 2134256252.5160089
2.199014799009644e-10 2104953758.5747972
2.2296266913449135e-10 2076053576.2820868
2.2606647235828202e-10 2047550182.0581176
2.2921348279020942e-10 2019438128.1596868
2.3240430190617276e-10 1991712041.6389618
2.3563953955505504e-10 1964366623.3165517
2.3891981407528134e-10 1937396646.7687025
2.4224575241299933e-10 1910796957.328389
2.456179902419048e-10 1884562471.1001282
2.490371720847359e-10 1858688173.9883099
2.5250395143645804e-10 1833169120.7388716
2.5601899088916406e-10 1808000433.9941313
2.5958296225871246e-10 1783177303.3606033
2.631965467131294e-10 1758694984.4895983
2.6686043490279777e-10 1734548798.1704514
2.705753270924578e-10 1710734129.4362192
2.7434193329504685e-10 1687246426.6816254
2.7816097340740084e-10 1664081200.7931292
2.820331773478455e-10 1641234024.2909448
2.859592851957029e-10 1618700530.4828358
2.8994004733274e-10 1596476412.6295133
2.9397622458658577e-10 1574557423.1215308
2.9806858837614583e-10 1552939372.667421
3.022179208590404e-10 1531618129.4930413
3.06425015081095e-10 1510589618.5518734
3.1069067512791257e-10 1489849820.7461703
3.1501571627855483e-10 1469394772.158815
3.1940096516136367e-10 1449220563.2956922
3.2384725991195124e-10 1429323338.3385067
3.283554503333898e-10 1409699294.407816
3.329263980586311e-10 1390344680.836206
3.3756097671518673e-10 1371255798.4514482
3.4226007209210176e-10 1352428998.8694847
3.4702458230925163e-10 1333860683.7971203
3.518554179889965e-10 1315547304.34431
3.5675350243022517e-10 1297485360.3458598
3.617197717848212e-10 1279671399.692461
3.6675517523658616e-10 1262102017.6708977
3.7186067518265374e-10 1244773856.3133237
3.770372474174285e-10 1227683603.7554607
3.8228588131908624e-10 1210827993.603615
3.8760758003866924e-10 1194203804.310387
3.9300336069181536e-10 1177807858.5589511
3.9847425455315517e-10 1161637022.655779
4.040213072534152e-10 1145688205.9317195
4.0964557897926557e-10 1129958360.1512856
4.153481446759496e-10 1114444478.9300525
4.211300942527329e-10 1099143597.1600738
4.269925327912152e-10 1084052790.4431505
4.329365807565385e-10 1069169174.5319225
4.3896337421153836e-10 1054489904.7786014
4.4507406503387486e-10 1040012175.5912906
4.5126982113618676e-10 1025733219.8977535
4.575518266893095e-10 1011650308.6165664
4.6392128234860166e-10 997760750.1355146
4.703794054834217e-10 984061889.7971478
4.769274304097986e-10 970551109.3914189
4.835666086263422e-10 957225826.655264
4.902982090534371e-10 944083494.7790741
4.971235182757665e-10 931121601.9199241
5.040438407882126e-10 918337670.7215022
5.110604992451788e-10 905729257.8406111
5.181748347133841e-10 893293953.4802048
5.253882069281762e-10 881029380.9287776
5.327019945534113e-10 868933196.1061481
5.401175954449546e-10 857003087.1154171
5.476364269178452e-10 845236773.8011262
5.552599260171834e-10 833632007.3134394
5.629895497927865e-10 822186569.6783435
5.7082677557767e-10 810898273.373732
5.787731012704042e-10 799764960.9113114
5.868300456214015e-10 788784504.4242458
5.949991485231892e-10 777954805.2604707
6.032819713047242e-10 767273793.5815848
6.11680097029802e-10 756739427.9672502
6.201951307996232e-10 746349695.02502
6.288287000595696e-10 736102609.0055302
6.375824549102514e-10 725996211.4229711
6.464580684228844e-10 716028570.6807653
6.554572369590581e-10 706197781.7023951
6.645816804949545e-10 696501965.5672888
6.738331429500808e-10 686939269.1517079
6.832133925205768e-10 677507864.7745789
6.927242220171649e-10 668205949.8481548
7.023674492078019e-10 659031746.5335089
7.12144917165103e-10 649983501.400747
7.220584946185998e-10 641059485.0938613
7.321100763119047e-10 632257992.0002267
7.423015833648449e-10 623577339.9246032
7.526349636406389e-10 615015869.7676233
7.631121921181841e-10 606571945.2086978
7.73735271269527e-10 598243952.3932754
7.845062314425874e-10 590030299.6243862
7.954271312492121e-10 581929417.0584273
8.065000579586275e-10 573939756.4051355
8.177271278963731e-10 566059790.6316524
8.291104868487854e-10 558288013.6706806
8.406523104731142e-10 550622940.13263
8.52354804713348e-10 543063105.0217212
8.642202062218263e-10 535607063.45598876
8.762507827867235e-10 528253390.391122
8.884488337654819e-10 521000680.34811103
9.008166905242784e-10 513847547.14460915
9.133567168836111e-10 506792623.6300102
9.260713095700855e-10 499834561.42414254
9.389628986744924e-10 492972030.6595633
9.520339481162615e-10 486203719.7273764
9.652869561143807e-10 479528335.0265672
9.787244556648712e-10 472944600.7167453
9.923490150249091e-10 466451258.4743023
1.0061632382036864e-09 460047067.25192267
1.0201697654601059e-09 453730803.04137087
1.0343712738074018e-09 447501258.6395645
1.0487704775247887e-09 441357243.4178423
1.0633701286762308e-09 435297583.09440285
1.078173017636432e-09 429321119.50986916
1.0931819736241515e-09 423426710.40593207
1.1083998652429402e-09 417613229.2070433
1.123829601029405e-09 411879564.80508053
1.1394741300091079e-09 406224621.34701186
1.1553364422602002e-09 400647318.0254182
1.1714195694849064e-09 395146588.8719463
1.1877265855889592e-09 389721382.55357105
1.2042606072691051e-09 384370662.17164195
1.2210247946087863e-09 379093405.0637283
1.2380223516821143e-09 373888602.6081433
1.255256527166253e-09 368755260.0311812
1.272730614962326e-09 363692396.21697706
1.290447954824966e-09 358699043.5200138
1.3084119330006303e-09 353774247.5801508
1.3266259828747995e-09 348917067.1402383
1.345093585628189e-09 344126573.8662199
1.363818270902093e-09 339401852.1696909
1.38280361747299e-09 334741999.0329178
1.402053253936541e-09 330146123.8362447
1.421570859401111e-09 325613348.1878676
1.441360164190939e-09 321142805.75595325
1.4614249505591032e-09 316733642.1030689
1.4817690534104076e-09 312385014.522864
